name	value
citation	doi:10.1038/nmeth.2276
qiita-id	1687
raw-data-url	ftp://ftp.microbio.me/pub/illumina-mock-communities-raw-data/S16S-1/
human-readable-description	A mock community composed of 48 bacteria represented in equal abundances in three replicate samples. These are the same community members present in mock-2, which consists of the same mock community samples analyzed on a separate Illumina MiSeq run. This was generated by Dr. Sathish Subramanian at Washington University, St. Louis, in 2012.
bokulich2013-id	dataset-5
bokulich2015-id	B1
target-gene	16S
target-subfragment	V4
study-type	marker-gene
sequencing-instrument	illumina-hiseq
physical-specimen-available	No
physical-specimen-contact	NA
