name	value
citation	doi:10.1038/nmeth.2276
qiita-id	1688
raw-data-url-forward-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-2/mock-forward-read.fastq.gz
raw-data-url-reverse-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-2/mock-reverse-read.fastq.gz
raw-data-url-index-read	https://dl.dropboxusercontent.com/u/2868868/data/mockrobiota/mock-2/mock-index-read.fastq.gz
human-readable-description	A mock community composed of 48 bacteria represented in equal abundances in three replicate samples. These are the same community members present in mock-1, which consists of the same mock community samples analyzed on a separate Illumina HiSeq run. This was generated by Dr. Sathish Subramanian at Washington University, St. Louis, in 2012.
bokulich2013-id	dataset-6
bokulich2015-id	B2
target-gene	16S
target-subfragment	V4
study-type	marker-gene
sequencing-instrument	illumina-miseq
physical-specimen-available	No
contact-email	NA
